Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.14161205292	0	23.7906976744	11.8332565247	64.0	10.0	23.7906976744	11.8332565247	1023	1023
1.61308813095	1	27.2162162162	14.1175281795	76.0	10.0	27.2162162162	14.1175281795	1007	2030
1.92446494102	2	28.2222222222	13.589438528	65.0	11.0	28.2222222222	13.589438528	1016	3046
2.20752096176	3	27.7297297297	10.8917242291	58.0	12.0	27.7297297297	10.8917242291	1026	4072
2.50221610069	4	34.9666666667	17.413564317	89.0	13.0	34.9666666667	17.413564317	1049	5121
2.84921598434	5	30.7575757576	19.213363883	84.0	10.0	30.7575757576	19.213363883	1015	6136
3.12098503113	6	31.0303030303	18.4661604489	101.0	10.0	31.0303030303	18.4661604489	1024	7160
3.44108510017	7	35.2413793103	18.8819475406	83.0	13.0	35.2413793103	18.8819475406	1022	8182
3.72113704681	8	30.9696969697	15.4497913068	73.0	11.0	30.9696969697	15.4497913068	1022	9204
4.05096411705	9	35.0	27.746388395	150.0	12.0	35.0	27.746388395	1015	10219
4.36343312263	10	37.4814814815	19.5056883828	94.0	13.0	37.4814814815	19.5056883828	1012	11231
4.70191717148	11	40.5769230769	23.8071952228	92.0	12.0	40.5769230769	23.8071952228	1055	12286
5.00697517395	12	42.5416666667	21.6736767506	114.0	18.0	42.5416666667	21.6736767506	1021	13307
5.30418300629	13	47.6666666667	23.79142169	130.0	22.0	47.6666666667	23.79142169	1001	14308
5.5863070488	14	39.3076923077	22.6168236068	127.0	15.0	39.3076923077	22.6168236068	1022	15330
5.89271807671	15	41.68	19.634092798	104.0	10.0	41.68	19.634092798	1042	16372
6.20650601387	16	42.3333333333	23.4727974946	137.0	12.0	42.3333333333	23.4727974946	1016	17388
6.56142306328	17	45.0833333333	24.3052063467	98.0	14.0	45.0833333333	24.3052063467	1082	18470
6.84770202637	18	46.8181818182	29.0761326108	134.0	15.0	46.8181818182	29.0761326108	1030	19500
7.13098716736	19	59.9411764706	38.9063288187	190.0	21.0	59.9411764706	38.9063288187	1019	20519
7.4258389473	20	50.1428571429	28.0853897186	136.0	14.0	50.1428571429	28.0853897186	1053	21572
7.73076796532	21	68.7333333333	36.4004883972	160.0	27.0	68.7333333333	36.4004883972	1031	22603
8.02904009819	22	58.6111111111	27.554267443	107.0	12.0	58.6111111111	27.554267443	1055	23658
8.32453393936	23	45.9090909091	20.2617173527	84.0	20.0	45.9090909091	20.2617173527	1010	24668
8.6334540844	24	51.1	20.5107288998	101.0	17.0	51.1	20.5107288998	1022	25690
8.98780608177	25	53.35	23.8668703436	101.0	17.0	53.35	23.8668703436	1067	26757
9.28059315681	26	59.8823529412	35.8590087999	149.0	16.0	59.8823529412	35.8590087999	1018	27775
9.6478471756	27	61.3529411765	22.6688207132	131.0	25.0	61.3529411765	22.6688207132	1043	28818
9.96878409386	28	59.1111111111	24.2873741522	99.0	15.0	59.1111111111	24.2873741522	1064	29882
10.2843439579	29	44.0869565217	23.2732596014	96.0	14.0	44.0869565217	23.2732596014	1014	30896
10.5803029537	30	63.3529411765	33.7010057041	159.0	23.0	63.3529411765	33.7010057041	1077	31973
10.8933711052	31	65.6875	25.4772416825	130.0	28.0	65.6875	25.4772416825	1051	33024
11.2364871502	32	69.6875	28.1795997798	125.0	29.0	69.6875	28.1795997798	1115	34139
11.9296610355	33	65.6875	27.1355826131	115.0	16.0	65.6875	27.1355826131	1051	35190
12.2639789581	34	59.2777777778	36.6966628146	177.0	14.0	59.2777777778	36.6966628146	1067	36257
12.5976970196	35	68.25	36.8213592905	154.0	24.0	68.25	36.8213592905	1092	37349
12.9101810455	36	82.5384615385	35.9136044174	170.0	26.0	82.5384615385	35.9136044174	1073	38422
13.1970360279	37	73.5	34.9933667184	160.0	15.0	73.5	34.9933667184	1029	39451
13.6178030968	38	100.5	52.3588578943	200.0	57.0	100.5	52.3588578943	1005	40456
13.9952361584	39	67.875	29.3978634428	128.0	24.0	67.875	29.3978634428	1086	41542
14.3859610558	40	69.2666666667	39.9824405903	191.0	24.0	69.2666666667	39.9824405903	1039	42581
14.748595953	41	84.0833333333	40.0259464459	176.0	28.0	84.0833333333	40.0259464459	1009	43590
15.070472002	42	82.8461538462	31.1888692025	157.0	51.0	82.8461538462	31.1888692025	1077	44667
15.421724081	43	86.2307692308	45.3586627231	196.0	34.0	86.2307692308	45.3586627231	1121	45788
15.7623810768	44	84.0833333333	35.2572884506	148.0	36.0	84.0833333333	35.2572884506	1009	46797
16.0796489716	45	91.0909090909	42.4466607434	158.0	25.0	91.0909090909	42.4466607434	1002	47799
16.40396595	46	119.333333333	56.0892146495	200.0	38.0	119.333333333	56.0892146495	1074	48873
16.7113771439	47	96.6363636364	42.1432033284	200.0	56.0	96.6363636364	42.1432033284	1063	49936
17.0881080627	48	130.875	31.592869053	168.0	65.0	130.875	31.592869053	1047	50983
17.3885819912	49	137.0	54.6282893746	200.0	54.0	137.0	54.6282893746	1096	52079
