Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.99423789978	0	21.1224489796	12.2234846781	85.0	9.0	21.1224489796	12.2234846781	1035	1035
1.34775996208	1	22.9318181818	11.1953678068	54.0	9.0	22.9318181818	11.1953678068	1009	2044
1.70827293396	2	26.6578947368	14.7260533817	88.0	9.0	26.6578947368	14.7260533817	1013	3057
2.09731793404	3	24.0952380952	13.6361032065	84.0	9.0	24.0952380952	13.6361032065	1012	4069
2.45180606842	4	28.3888888889	12.7197959841	59.0	11.0	28.3888888889	12.7197959841	1022	5091
2.73034191132	5	25.375	16.2936912638	75.0	9.0	25.375	16.2936912638	1015	6106
3.03189492226	6	29.3611111111	15.4850335948	72.0	9.0	29.3611111111	15.4850335948	1057	7163
3.3374209404	7	31.0909090909	13.6833533821	56.0	11.0	31.0909090909	13.6833533821	1026	8189
3.62194800377	8	30.7352941176	17.8462532293	96.0	14.0	30.7352941176	17.8462532293	1045	9234
3.9552719593	9	35.9642857143	19.351046747	89.0	11.0	35.9642857143	19.351046747	1007	10241
4.34160113335	10	35.0322580645	23.658162161	96.0	11.0	35.0322580645	23.658162161	1086	11327
4.67309594154	11	36.8928571429	19.3821333149	76.0	12.0	36.8928571429	19.3821333149	1033	12360
4.95974397659	12	37.4444444444	17.4766157698	83.0	15.0	37.4444444444	17.4766157698	1011	13371
5.2905330658	13	35.1333333333	18.0050610169	74.0	11.0	35.1333333333	18.0050610169	1054	14425
5.64434790611	14	39.3076923077	20.4953451202	81.0	14.0	39.3076923077	20.4953451202	1022	15447
6.03209900856	15	40.4230769231	17.4778388845	70.0	12.0	40.4230769231	17.4778388845	1051	16498
6.37047791481	16	40.92	21.0084173607	88.0	15.0	40.92	21.0084173607	1023	17521
6.73257803917	17	55.3157894737	33.7156103648	160.0	10.0	55.3157894737	33.7156103648	1051	18572
7.08768796921	18	45.9545454545	25.3439561967	119.0	11.0	45.9545454545	25.3439561967	1011	19583
7.40764403343	19	43.9130434783	21.0999959684	86.0	13.0	43.9130434783	21.0999959684	1010	20593
7.73448705673	20	45.9090909091	26.5910256408	123.0	10.0	45.9090909091	26.5910256408	1010	21603
8.0541510582	21	45.1739130435	19.0916603098	96.0	21.0	45.1739130435	19.0916603098	1039	22642
8.31924700737	22	48.619047619	24.8260159059	115.0	17.0	48.619047619	24.8260159059	1021	23663
8.62319493294	23	50.85	38.9682883894	170.0	15.0	50.85	38.9682883894	1017	24680
8.92434191704	24	48.5	25.8751372416	96.0	14.0	48.5	25.8751372416	1067	25747
9.28132390976	25	56.5555555556	25.9148653655	107.0	19.0	56.5555555556	25.9148653655	1018	26765
9.60389304161	26	61.1176470588	22.9779494118	108.0	31.0	61.1176470588	22.9779494118	1039	27804
9.90835595131	27	60.8235294118	24.8033093004	119.0	15.0	60.8235294118	24.8033093004	1034	28838
10.2225630283	28	54.9473684211	25.4485521958	118.0	17.0	54.9473684211	25.4485521958	1044	29882
10.5215170383	29	65.375	32.4150331636	140.0	24.0	65.375	32.4150331636	1046	30928
10.796888113	30	58.0555555556	20.6033228772	91.0	17.0	58.0555555556	20.6033228772	1045	31973
11.1028881073	31	73.1428571429	40.2933123534	166.0	23.0	73.1428571429	40.2933123534	1024	32997
11.3782761097	32	68.0	18.7652160481	117.0	36.0	68.0	18.7652160481	1020	34017
11.691478014	33	66.5625	34.8585870877	155.0	17.0	66.5625	34.8585870877	1065	35082
11.9855659008	34	78.4615384615	35.2782682826	141.0	22.0	78.4615384615	35.2782682826	1020	36102
12.287430048	35	68.1333333333	26.6004177077	126.0	20.0	68.1333333333	26.6004177077	1022	37124
12.6010029316	36	78.7692307692	41.6046481245	200.0	42.0	78.7692307692	41.6046481245	1024	38148
12.938149929	37	82.0769230769	33.1046395504	164.0	36.0	82.0769230769	33.1046395504	1067	39215
13.2994949818	38	93.0	23.940899454	146.0	49.0	93.0	23.940899454	1116	40331
13.6892409325	39	87.8461538462	44.4329159933	200.0	36.0	87.8461538462	44.4329159933	1142	41473
14.0078589916	40	100.7	31.6387420736	157.0	35.0	100.7	31.6387420736	1007	42480
14.326595068	41	110.0	40.6644808156	200.0	63.0	110.0	40.6644808156	1100	43580
14.6751520634	42	135.375	42.6260996926	200.0	39.0	135.375	42.6260996926	1083	44663
15.0130779743	43	144.0	36.0277670693	200.0	72.0	144.0	36.0277670693	1152	45815
15.3197309971	44	116.0	42.6301927433	200.0	59.0	116.0	42.6301927433	1044	46859
15.6591050625	45	150.714285714	32.9749441057	184.0	101.0	150.714285714	32.9749441057	1055	47914
15.9839179516	46	145.285714286	50.9052741744	200.0	39.0	145.285714286	50.9052741744	1017	48931
16.3177070618	47	136.0	51.9133894097	192.0	47.0	136.0	51.9133894097	1088	50019
16.7296879292	48	134.375	44.0395773708	200.0	76.0	134.375	44.0395773708	1075	51094
17.1570129395	49	187.333333333	28.323527715	200.0	124.0	187.333333333	28.323527715	1124	52218
17.5150179863	50	161.285714286	38.3283344862	200.0	91.0	161.285714286	38.3283344862	1129	53347
17.811070919	51	166.833333333	65.223760156	200.0	22.0	166.833333333	65.223760156	1001	54348
18.1236460209	52	174.166666667	31.4240707456	200.0	128.0	174.166666667	31.4240707456	1045	55393
