Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.935388088226	0	21.7872340426	10.3716802845	58.0	8.0	21.7872340426	10.3716802845	1024	1024
1.29138803482	1	21.3673469388	10.739387505	58.0	9.0	21.3673469388	10.739387505	1047	2071
1.59440207481	2	24.9756097561	14.3569271202	63.0	9.0	24.9756097561	14.3569271202	1024	3095
1.85819005966	3	25.175	11.2824808885	59.0	10.0	25.175	11.2824808885	1007	4102
2.18913507462	4	36.5357142857	19.5584876403	93.0	9.0	36.5357142857	19.5584876403	1023	5125
2.53837800026	5	36.4482758621	23.3734098952	118.0	11.0	36.4482758621	23.3734098952	1057	6182
2.8286960125	6	30.0882352941	17.1195925719	86.0	9.0	30.0882352941	17.1195925719	1023	7205
3.12289714813	7	31.4848484848	19.8907946002	88.0	11.0	31.4848484848	19.8907946002	1039	8244
3.42207098007	8	34.2	18.183142376	77.0	10.0	34.2	18.183142376	1026	9270
3.78756213188	9	37.5185185185	18.2986952993	77.0	14.0	37.5185185185	18.2986952993	1013	10283
4.14851307869	10	36.9285714286	37.7055590553	196.0	10.0	36.9285714286	37.7055590553	1034	11317
4.51138496399	11	34.5862068966	20.4880406518	115.0	15.0	34.5862068966	20.4880406518	1003	12320
4.81770205498	12	41.0	21.7108267922	109.0	14.0	41.0	21.7108267922	1025	13345
5.1396241188	13	42.2083333333	18.6770339514	78.0	12.0	42.2083333333	18.6770339514	1013	14358
5.45447516441	14	53.1052631579	26.2856669706	113.0	14.0	53.1052631579	26.2856669706	1009	15367
5.76372408867	15	50.4	26.004614975	107.0	13.0	50.4	26.004614975	1008	16375
6.13131403923	16	65.5	39.1503512117	181.0	23.0	65.5	39.1503512117	1048	17423
6.48982596397	17	67.4666666667	49.316483609	159.0	9.0	67.4666666667	49.316483609	1012	18435
6.79516911507	18	46.5454545455	24.5740574086	106.0	13.0	46.5454545455	24.5740574086	1024	19459
7.0609960556	19	59.8235294118	34.5802311667	118.0	16.0	59.8235294118	34.5802311667	1017	20476
7.38263607025	20	55.6666666667	38.7943294825	200.0	21.0	55.6666666667	38.7943294825	1002	21478
7.72045493126	21	53.35	20.4383830084	83.0	21.0	53.35	20.4383830084	1067	22545
8.05532193184	22	51.7142857143	20.697694505	94.0	22.0	51.7142857143	20.697694505	1086	23631
8.36147499084	23	62.7647058824	38.3321849284	150.0	19.0	62.7647058824	38.3321849284	1067	24698
8.73237204552	24	82.4615384615	53.0784838121	200.0	12.0	82.4615384615	53.0784838121	1072	25770
9.09385514259	25	57.8421052632	41.8698021539	200.0	17.0	57.8421052632	41.8698021539	1099	26869
9.45779204369	26	78.6428571429	47.7158361596	169.0	15.0	78.6428571429	47.7158361596	1101	27970
9.82909011841	27	77.9230769231	47.7790773947	200.0	27.0	77.9230769231	47.7790773947	1013	28983
10.1408350468	28	77.5384615385	44.6776753486	161.0	24.0	77.5384615385	44.6776753486	1008	29991
10.4660511017	29	86.8333333333	41.4122231017	152.0	18.0	86.8333333333	41.4122231017	1042	31033
10.8320550919	30	104.909090909	34.2675424098	180.0	50.0	104.909090909	34.2675424098	1154	32187
11.1824569702	31	101.727272727	35.2009579133	162.0	45.0	101.727272727	35.2009579133	1119	33306
11.5297739506	32	117.0	37.6828873628	172.0	47.0	117.0	37.6828873628	1053	34359
11.9014489651	33	88.8333333333	49.9480285452	200.0	27.0	88.8333333333	49.9480285452	1066	35425
12.2110350132	34	128.0	25.4312799521	155.0	79.0	128.0	25.4312799521	1024	36449
12.5455999374	35	133.625	48.7107213558	200.0	54.0	133.625	48.7107213558	1069	37518
12.8578879833	36	104.1	48.704106603	156.0	20.0	104.1	48.704106603	1041	38559
13.1888849735	37	98.3636363636	48.4022402323	184.0	34.0	98.3636363636	48.4022402323	1082	39641
13.4934580326	38	130.75	46.6281835374	200.0	69.0	130.75	46.6281835374	1046	40687
13.7929649353	39	167.166666667	25.1291110512	200.0	132.0	167.166666667	25.1291110512	1003	41690
14.142884016	40	105.5	48.3368389533	184.0	41.0	105.5	48.3368389533	1055	42745
14.4254181385	41	144.428571429	32.8409898183	200.0	101.0	144.428571429	32.8409898183	1011	43756
14.753745079	42	129.375	41.8716416564	200.0	53.0	129.375	41.8716416564	1035	44791
15.038161993	43	125.875	43.5988460283	200.0	67.0	125.875	43.5988460283	1007	45798
15.3716790676	44	132.125	35.0229835251	191.0	79.0	132.125	35.0229835251	1057	46855
15.7197320461	45	125.555555556	62.7607646563	200.0	30.0	125.555555556	62.7607646563	1130	47985
16.0814371109	46	154.142857143	55.9883369779	200.0	59.0	154.142857143	55.9883369779	1079	49064
16.4082081318	47	134.625	47.0024932849	200.0	68.0	134.625	47.0024932849	1077	50141
16.7183520794	48	150.428571429	38.3884548971	200.0	103.0	150.428571429	38.3884548971	1053	51194
16.9954459667	49	174.833333333	27.6249685772	200.0	127.0	174.833333333	27.6249685772	1049	52243
17.3379440308	50	162.714285714	61.5507091423	200.0	27.0	162.714285714	61.5507091423	1139	53382
17.6654200554	51	178.333333333	36.0030862875	200.0	101.0	178.333333333	36.0030862875	1070	54452
17.9759531021	52	155.428571429	46.1112231237	200.0	77.0	155.428571429	46.1112231237	1088	55540
18.3172659874	53	161.714285714	61.0496619523	200.0	45.0	161.714285714	61.0496619523	1132	56672
18.6499819756	54	182.833333333	33.3087409282	200.0	109.0	182.833333333	33.3087409282	1097	57769
18.9589159489	55	171.333333333	25.9657894589	200.0	138.0	171.333333333	25.9657894589	1028	58797
19.3125040531	56	200.0	0.0	200.0	200.0	200.0	0.0	1200	59997
19.6726911068	57	159.285714286	43.9145738442	199.0	71.0	159.285714286	43.9145738442	1115	61112
20.0109510422	58	162.285714286	39.1506770082	200.0	87.0	162.285714286	39.1506770082	1136	62248
20.3514120579	59	193.333333333	13.6096371084	200.0	163.0	193.333333333	13.6096371084	1160	63408
20.7065680027	60	152.285714286	51.382916243	200.0	45.0	152.285714286	51.382916243	1066	64474
21.0425720215	61	182.333333333	20.7417989148	200.0	143.0	182.333333333	20.7417989148	1094	65568
21.3637070656	62	153.428571429	62.77137005	200.0	22.0	153.428571429	62.77137005	1074	66642
21.6974229813	63	149.428571429	54.7379657821	200.0	38.0	149.428571429	54.7379657821	1046	67688
22.0345871449	64	185.666666667	23.3285709426	200.0	137.0	185.666666667	23.3285709426	1114	68802
22.411591053	65	170.571428571	35.269805552	200.0	101.0	170.571428571	35.269805552	1194	69996
22.8199739456	66	191.0	20.1246117975	200.0	146.0	191.0	20.1246117975	1146	71142
23.2054331303	67	149.714285714	59.7679184984	200.0	64.0	149.714285714	59.7679184984	1048	72190
23.4927351475	68	167.166666667	46.7561641807	200.0	92.0	167.166666667	46.7561641807	1003	73193
23.851113081	69	190.833333333	20.4972897937	200.0	145.0	190.833333333	20.4972897937	1145	74338
24.1899690628	70	196.166666667	8.57159391375	200.0	177.0	196.166666667	8.57159391375	1177	75515
24.5395679474	71	187.666666667	15.3478192443	200.0	158.0	187.666666667	15.3478192443	1126	76641
24.946062088	72	200.0	0.0	200.0	200.0	200.0	0.0	1200	77841
25.365281105	73	199.666666667	0.7453559925	200.0	198.0	199.666666667	0.7453559925	1198	79039
25.7695930004	74	200.0	0.0	200.0	200.0	200.0	0.0	1200	80239
26.1913859844	75	200.0	0.0	200.0	200.0	200.0	0.0	1200	81439
26.5577199459	76	195.0	11.1803398875	200.0	170.0	195.0	11.1803398875	1170	82609
26.9025199413	77	192.833333333	9.38823140367	200.0	175.0	192.833333333	9.38823140367	1157	83766
27.2657899857	78	191.333333333	16.4485730553	200.0	155.0	191.333333333	16.4485730553	1148	84914
